Unnamed: 0,first_name,last_name,id,market_value,market_value_trend,team_id,date,time,totalPoints,average_points
60.0,Makoto,Hasebe,285,2207677.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
61.0,Jens,Grahl,357,500000.0,0,4,2022-07-25,2022-07-25 15:08:53.359394,,
62.0,Sebastian,Rode,392,4718723.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
63.0,Kevin,Trapp,429,16093275.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
64.0,Timothy,Chandler,461,500000.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
65.0,Mario,Götze,513,18637707.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
66.0,Filip,Kostic,1620,32114260.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
67.0,Djibril,Sow,1738,14111402.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
68.0,Christopher,Lenz,1739,2571483.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
69.0,Jerôme Junior,Onguéné,2048,6401050.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
70.0,Daichi,Kamada,2059,12655654.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
71.0,Lucas,Alario,2157,13296851.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
72.0,Obite,Ndicka,2282,26795146.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
73.0,Gonçalo,Mendes Paciência,2287,1852475.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
74.0,Almamy,Touré,2376,2247731.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
75.0,Lucas,Silva Melo,2378,14657213.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
76.0,Diant,Ramaj,2597,500000.0,0,4,2022-07-25,2022-07-25 15:08:53.359394,,
77.0,Ansgar,Knauff,2863,15777965.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
78.0,Ajdin,Hrustic,2908,2925222.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
79.0,Ali,Akman,3009,3524445.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
80.0,Santos,Borré,3030,16105959.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
81.0,Jesper,Lindstrøm,3044,14671986.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
82.0,Marcel,Wenig,3084,2934170.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
83.0,Jens Petter,Hauge,3125,3203096.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
84.0,Kristijan,Jakić,3143,4375104.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
85.0,Faride,Alidou,3282,1048951.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
86.0,Hrvoje,Smolčić,3457,4844578.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
87.0,Aurélio Gabriel,Ulineia Buta,3479,2991807.0,2,4,2022-07-25,2022-07-25 15:08:53.359394,,
88.0,Randal,Kolo Muani,3480,13419824.0,1,4,2022-07-25,2022-07-25 15:08:53.359394,,
89.0,Benjamin,Uphoff,36,500000.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
90.0,Matthias,Ginter,49,24506076.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
91.0,Mark,Flekken,72,19865250.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
92.0,Christian,Günter,89,26450664.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
93.0,Vincenzo,Grifo,118,36927082.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
94.0,Nils,Petersen,317,4367224.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
95.0,Michael,Gregoritsch,493,10275264.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
96.0,Nicolas,Höfler,581,24573898.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
97.0,Jonathan,Schmid,605,4393285.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
98.0,Manuel,Gulde,1138,3564743.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
99.0,Lukas,Kübler,1257,9611604.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
100.0,Maximilian,Eggestein,1645,12649804.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
101.0,Philipp,Lienhart,2084,27046753.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
102.0,Lucas,Höler,2176,19255881.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
103.0,Keven,Schlotterbeck,2274,3253639.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
104.0,Woo-Yeong,Jeong,2302,7774034.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
105.0,Roland,Sallai,2343,10988593.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
106.0,Yannik,Keitel,2764,813881.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
107.0,Ritsu,Dōan,2887,11715383.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
108.0,Kevin,Schade,2930,5130534.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
109.0,Nishan,Connell Burkart,2945,500000.0,0,5,2022-07-25,2022-07-25 15:08:53.359394,,
110.0,Kiliann,Sildillia,2946,500000.0,0,5,2022-07-25,2022-07-25 15:08:53.359394,,
111.0,Noah,Weißhaupt,3017,500000.0,2,5,2022-07-25,2022-07-25 15:08:53.359394,,
112.0,Noah,Atubolu,3019,500000.0,0,5,2022-07-25,2022-07-25 15:08:53.359394,,
113.0,Hugo,Siquet,3172,500000.0,0,5,2022-07-25,2022-07-25 15:08:53.359394,,
114.0,Robert,Wagner,3206,2397179.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
115.0,Daniel-Kofi,Kyereh,3306,10361294.0,1,5,2022-07-25,2022-07-25 15:08:53.359394,,
116.0,Jonas,Meffert,133,16038454.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
117.0,Tom,Mickel,416,622864.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
118.0,Sonny,Kittel,580,20061321.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
119.0,Tim,Leibold,1188,11792299.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
120.0,Sebastian,Schonlau,1295,17485465.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
121.0,Daniel,Heuer Fernandes,1863,13998584.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
122.0,László,Bénes,1877,12777524.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
123.0,Bakery,Jatta,1889,11371241.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
124.0,Stephan,Ambrosius,2192,3174934.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
125.0,Robert,Glatzel,2444,18565154.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
126.0,Jonas,David,2571,4778061.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
127.0,Aaron,Opoku,2579,3316407.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
128.0,Miro Max Maria,Muheim,3277,12489969.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
129.0,Moritz,Heyer,3278,17112383.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
130.0,Mario,Vušković,3279,15778807.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
131.0,Marko,Johansson,3280,558650.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
132.0,Ludovit,Reis,3281,14830849.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
133.0,Maximilian,Rohr,3284,3402826.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
134.0,Anssi Tapio,Suhonen,3285,2297134.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
135.0,Ransford-Yeboah,Königsdörffer,3318,10330033.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
136.0,Filip,Bilbija,3358,5293105.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
137.0,Matheo,Raab,3419,2365472.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
138.0,Robin Maximilian,Meißner,3440,1325679.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
139.0,Ogechika,Heil,3464,1674848.0,2,6,2022-07-25,2022-07-25 15:08:53.359394,,
140.0,Xavier Casmier,Amaechi,3465,5016214.0,1,6,2022-07-25,2022-07-25 15:08:53.359394,,
141.0,Kerem,Demirbay,81,21489699.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
142.0,Niklas,Lomb,97,500000.0,0,7,2022-07-25,2022-07-25 15:08:53.359394,,
143.0,Jonathan,Tah,173,27745563.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
144.0,Karim,Bellarabi,486,5583153.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
145.0,Robert,Andrich,663,23360480.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
146.0,Nadiem,Amiri,1639,3528024.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
147.0,Lukas,Hradecky,1761,20148487.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
148.0,Charles,Aránguiz,1766,8626247.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
149.0,Paulo Henrique,Sampaio Filho,2291,13007886.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
150.0,Daley,Sinkgraven,2645,500000.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
151.0,Moussa,Diaby,2661,44803938.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
152.0,Patrik,Schick,2746,39857210.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
153.0,Exequiel,Palacios,2766,4891326.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
154.0,Edmond,Tapsoba,2783,21093489.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
155.0,Florian,Wirtz,2795,25236540.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
156.0,Timothy Evans,Fosu-Mensah,2944,1532908.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
157.0,Jeremie,Frimpong,2948,15530369.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
158.0,Andrey,Lunev,3042,500000.0,0,7,2022-07-25,2022-07-25 15:08:53.359394,,
159.0,Batuhan Zidan,Sertdemir,3045,500000.0,0,7,2022-07-25,2022-07-25 15:08:53.359394,,
160.0,Mitchel,Bakker,3046,12936940.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
161.0,Odilon,Kossounou,3079,7540689.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
162.0,Piero,Hincapié,3128,10862076.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
163.0,Amine,Adli,3132,3712834.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
164.0,Iker,Bravo Solanilla,3156,500000.0,0,7,2022-07-25,2022-07-25 15:08:53.359394,,
165.0,Sardar,Azmoun,3194,8064875.0,2,7,2022-07-25,2022-07-25 15:08:53.359394,,
166.0,Adam,Hlozek,3471,17144808.0,1,7,2022-07-25,2022-07-25 15:08:53.359394,,
167.0,Ralf,Fährmann,262,1946635.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
168.0,Sebastian,Polter,496,7866209.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
169.0,Dominick,Drexler,554,5516299.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
170.0,Alexander,Schwolow,620,9883262.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
171.0,Danny,Latza,1070,6768817.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
172.0,Simon,Terodde,1407,13232155.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
173.0,Marcin,Kaminski,2076,4347401.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
174.0,Amine,Harit,2109,4771695.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
175.0,Michael,Langer,2134,500000.0,0,8,2022-07-25,2022-07-25 15:08:53.359394,,
176.0,Tom,Krauß,2358,8446480.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
177.0,Cédric,Brunner,2429,8485463.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
178.0,Marius,Bülter,2552,9375526.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
179.0,Tobias,Mohr,2566,2619844.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
180.0,Victor,Pálsson,2608,2805580.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
181.0,Rodrigo,Zalazar,2680,12020841.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
182.0,Malick,Thiaw,2789,10322313.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
183.0,Can,Bozdogan,2802,1699666.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
184.0,Kerim,Çalhanoğlu,2932,518695.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
185.0,Florian,Flick,2957,2338947.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
186.0,Mehmet-Can,Aydin,2959,2537207.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
187.0,Blendi,Idrizi,2972,718879.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
188.0,Henning,Matriciani,2974,2480488.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
189.0,Thomas,Ouwejan,3012,10907645.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
190.0,Marvin,Pieringer,3027,2882415.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
191.0,Marius,Lode,3182,2886379.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
192.0,Dong-Gyeong,Lee,3200,4546352.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
193.0,Florent,Mollet,3371,6999002.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
194.0,Ibrahima,Cissé,3509,2915706.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
195.0,Leo,Greiml,3510,2450959.0,2,8,2022-07-25,2022-07-25 15:08:53.359394,,
196.0,Justin,Heekeren,3511,1906902.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
197.0,Maya,Yoshida,3535,8234566.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
198.0,Alex,Král,4253,9230129.0,1,8,2022-07-25,2022-07-25 15:08:53.359394,,
199.0,Philipp,Klement,6,2385114.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
200.0,Waldemar,Anton,1704,12836504.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
201.0,Pascal,Stenzel,1758,1181035.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
202.0,Florian,Müller,1910,10198566.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
203.0,Orel,Mangala,2049,6415123.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
204.0,Nikolas,Nartey,2120,500000.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
205.0,Maxime,Awoudja,2130,3741407.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
206.0,Chris,Führich,2172,11589668.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
207.0,Joshua,Vagnoman,2199,7656883.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
208.0,Atakan,Karazor,2214,814361.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
209.0,Fabian,Bredlow,2237,619272.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
210.0,Borna,Sosa,2247,22189097.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
211.0,Antonis,Aidonis,2356,1484601.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
212.0,Darko,Churlinov,2740,5434525.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
213.0,Clinton,Mola,2817,500000.0,0,9,2022-07-25,2022-07-25 15:08:53.359394,,
214.0,Mateo,Klimowicz,2818,511974.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
215.0,Sasa,Kalajdzic,2819,24835577.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
216.0,Silas,Katompa Mvumpa,2822,9776447.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
217.0,Tanguy,Coulibaly,2824,968599.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
218.0,Lilian,Egloff,2832,500000.0,0,9,2022-07-25,2022-07-25 15:08:53.359394,,
219.0,Wataru,Endo,2837,17863098.0,1,9,2022-07-25,2022-07-25 15:08:53.359394,,
220.0,Konstantinos,Mavropanos,2838,26397952.0,2,9,2022-07-25,2022-07-25 15:08:53.359394,,
